,Ticker,Company,CEO,Year,CEO PaySort ascending
234,BMY,Bristol Myers Squibb Co.,Giovanni Caforio,2023,19661434
236,ENPH,"Enphase Energy, Inc.",Badrinarayanan Kothandaraman,2023,19527534
237,SPGI,S&P Global Inc.,Douglas Peterson,2023,19506412
239,HPQ,HP Inc.,Enrique Lores,2023,19458431
240,FIS,"Fidelity National Information Services, Inc.",Stephanie L. Ferris,2023,19435522
241,PSX,Phillips 66,Mark Lashier,2023,19409262
242,BWA,Borgwarner Inc.,Frédéric Lissalde,2023,19308195
245,NWSA,News Corp.,Robert Thomson,2023,19277292
246,PRU,Prudential Financial Inc.,Charles F. Lowrey,2023,19213328
247,TGT,Target Corp.,Brian Cornell,2023,19203353
248,LIN,Linde PLC,Sanjiv Lamba,2023,19200255
249,SYF,Synchrony Financial,Brian Doubles,2023,19175684
250,MCD,Mcdonalds Corp.,Christopher Kempczinski,2023,19155001
251,MMC,"Marsh & Mclennan Companies, Inc.",John Doyle,2023,19054956
252,TMO,Thermo Fisher Scientific Inc.,Marc Casper,2023,18976669
257,ES,Eversource Energy,Joseph Nolan,2023,18885577
261,AZO,Autozone Inc.,William Rhodes,2023,18796822
263,CAH,Cardinal Health Inc.,Jason Hollar,2023,18776433
265,BSX,Boston Scientific Corp.,Michael Mahoney,2023,18723735
266,CAG,Conagra Brands Inc.,Sean Connolly,2023,18720100
267,CZR,"Caesars Entertainment, Inc.",Thomas Reeg,2023,18610359
269,UAL,"United Airlines Holdings, Inc.",Scott Kirby,2023,18573299
270,CNC,Centene Corp.,Sarah London,2023,18556966
272,MO,"Altria Group, Inc.",William Gifford,2023,18528628
276,NDAQ,"Nasdaq, Inc.",Adena Friedman,2023,18498752
277,MLM,Martin Marietta Materials Inc.,C. Howard Nye,2023,18488885
279,CBRE,"Cbre Group, Inc.",Robert Sulentic,2023,18358834
282,EMR,Emerson Electric Co.,Lal Karsanbhai,2023,18317194
283,LRCX,Lam Research Corp.,Timothy Archer,2023,18310099
286,SLB,Schlumberger Limited/nv,Olivier Le Peuch,2023,18249585
288,LOW,Lowes Companies Inc.,Marvin Ellison,2023,18162272
290,ROST,"Ross Stores, Inc.",Barbara Rentler,2023,18094944
291,APTV,Aptiv PLC,Kevin Clark,2023,18000136
293,MNST,Monster Beverage Corp.,Rodney Sacks,2023,17875482
296,OXY,Occidental Petroleum Corp.,Vicki Hollub,2023,17735019
298,CARR,Carrier Global Corp.,David Gitlin,2023,17695200
299,HST,"Host Hotels & Resorts, Inc.",James Risoleo,2023,17694586
300,FTV,Fortive Corp.,James Lico,2023,17659164
301,ADSK,"Autodesk, Inc.",Andrew Anagnost,2023,17600752
302,EMN,Eastman Chemical Co.,Mark Costa,2023,17597890
303,BG,Bunge Global SA,Gregory Heckman,2023,17587870
304,FANG,"Diamondback Energy, Inc.",Travis D. Stice,2023,17583386
306,WMB,"Williams Companies, Inc.",Alan Armstrong,2023,17548802
307,COR,Cencora,Steven H. Collis,2023,17511240
310,CDNS,Cadence Design Systems Inc.,Anirudh Devgan,2023,17341862
312,BDX,Becton Dickinson & Co.,Thomas Polen,2023,17309938
314,SWKS,"Skyworks Solutions, Inc.",Liam Griffin,2023,17261436
315,RCL,Royal Caribbean Cruises Ltd.,Jason Liberty,2023,17216276
316,WELL,Welltower Inc.,Shankh Mitra,2023,17199891
318,CL,Colgate Palmolive Co.,Noel Wallace,2023,17121584
320,MRNA,"Moderna, Inc.",Stéphane Bancel,2023,17068514
323,GEHC,GE HealthCare,Peter J. Arduini,2023,17042211
325,K,Kellogg Co.,Steve Cahillane,2023,17038641
326,MGM,Mgm Resorts International,William Hornbuckle,2023,17003794
328,PCG,PG&E Corp.,Patricia Poppe,2023,16994840
331,COST,Costco Wholesale,Craig Jelinek,2023,16870623
332,INTC,Intel Corp.,Patrick P. Gelsinger,2023,16855400
333,WRB,Berkley W R Corp.,Robert Berkley,2023,16813566
