,Ticker,Company,Median Worker Pay,Pay RatioSort ascending
440,FTV,Fortive Corp.,77370,230:01:00
443,BAC,Bank of America Corp.,124221,230:01:00
445,MDT,Medtronic PLC,67073,230:01:00
446,UAL,"United Airlines Holdings, Inc.",81050,229:01:00
447,ADBE,Adobe Inc.,196336,229:01:00
449,HAL,Halliburton Co.,87310,228:01:00
450,LRCX,Lam Research Corp.,81126,226:01:00
454,PCAR,Paccar Inc.,93387,224:01:00
456,EMN,Eastman Chemical Co.,78643,224:01:00
457,QCOM,Qualcomm Inc.,105548,223:01:00
458,FOXA,Fox Corp.,97491,223:01:00
459,DECK,Deckers Outdoor Corp.,51320,222:01:00
464,MAS,Masco Corp.,56636,220:01:00
466,GD,General Dynamics Corp.,102785,220:01:00
467,DOW,Dow Inc.,94600,220:01:00
468,PGR,Progressive Corp.,71672,218:01:00
469,NOC,Northrop Grumman Corp.,114197,217:01:00
470,SWK,"Stanley Black & Decker, Inc.",64305,216:01:00
476,AME,Ametek,68084,214:01:00
477,NUE,Nucor Corp.,105755,213:01:00
478,AMP,Ameriprise Financial Inc.,133296,213:01:00
481,DD,"Dupont de Nemours, Inc.",93601,212:01:00
483,NEM,Newmont Corp.,55338,212:01:00
487,DLTR,"Dollar Tree, Inc.",15955,211:01:00
488,ANSS,Ansys Inc.,117169,210:01:00
489,PRU,Prudential Financial Inc.,91552,210:01:00
492,BK,Bank of New York Mellon Corp.,80501,209:01:00
500,EQIX,Equinix Inc.,115896,206:01:00
501,ICE,"Intercontinental Exchange, Inc.",133506,206:01:00
504,IPG,"Interpublic Group OF Companies, Inc.",70319,205:01:00
506,PH,Parker Hannifin Corp.,80647,204:01:00
507,ZTS,Zoetis Inc.,74848,204:01:00
509,A,"Agilent Technologies, Inc.",78825,203:01:00
512,SCHW,Schwab Charles Corp.,117672,203:01:00
518,CMI,Cummins Inc.,63827,201:01:00
519,GE,General Electric Co.,73038,201:01:00
525,XOM,Exxon Mobil Corp.,185376,199:01:00
531,ADP,Automatic Data Processing Inc.,64996,197:01:00
535,DAY,Dayforce,69111,197:01:00
536,HUBB,Hubbell Inc.,49030,197:01:00
539,TXT,Textron Inc.,104326,196:01:00
542,AIZ,"Assurant, Inc.",52667,196:01:00
544,PFG,Principal Financial Group Inc.,78155,194:01:00
546,TRV,"Travelers Companies, Inc.",117491,194:01:00
547,EPAM,"Epam Systems, Inc.",39153,193:01:00
549,T,AT&T Inc.,137176,193:01:00
553,HUM,Humana Inc.,85122,192:01:00
554,XYL,Xylem Inc.,56420,192:01:00
556,HON,Honeywell International Inc.,80363,192:01:00
568,EFX,Equifax Inc.,69056,189:01:00
569,PTC,PTC Inc.,82574,189:01:00
572,IDXX,Idexx Laboratories Inc.,61136,188:01:00
573,IFF,International Flavors & Fragrances Inc.,57024,188:01:00
574,LMT,Lockheed Martin Corp.,121901,187:01:00
575,RTX,Raytheon Technologies Corp.,117236,187:01:00
576,DGX,Quest Diagnostics Inc.,68163,186:01:00
579,LHX,"L3Harris Technologies, Inc.",106472,186:01:00
581,MLM,Martin Marietta Materials Inc.,99816,185:01:00
584,DXCM,Dexcom Inc.,85574,184:01:00
588,PKG,Packaging Corp of America,83406,183:01:00
590,MA,Mastercard Inc.,140777,183:01:00
591,MRK,"Merck & Co., Inc.",110827,183:01:00
592,SRE,Sempra Energy,150500,182:01:00
593,MNST,Monster Beverage Corp.,98177,182:01:00
595,BR,"Broadridge Financial Solutions, Inc.",67457,182:01:00
596,MTD,Mettler Toledo International Inc.,46144,182:01:00
607,TRMB,Trimble Inc.,83971,178:01:00
610,NRG,"NRG Energy, Inc.",74050,177:01:00
613,AOS,Smith A O Corp.,49422,177:01:00
614,ZBRA,Zebra Technologies Corp.,64037,177:01:00
616,CRWD,"Crowdstrike Holdings, Inc.",206034,177:01:00
617,MAA,Mid America Apartment Communities Inc.,45501,176:01:00
618,ABT,Abbott Laboratories,132152,176:01:00
619,NOW,"Servicenow, Inc.",214268,176:01:00
620,ABT,Abbott Laboratories,132152,176:01:00
623,FE,Firstenergy Corp.,151804,175:01:00
629,GS,Goldman Sachs Group Inc.,153492,174:01:00
631,PNR,Pentair PLC,57729,173:01:00
634,CTVA,"Corteva, Inc.",77084,172:01:00
648,ABBV,Abbvie Inc.,151991,169:01:00
651,VZ,Verizon Communications Inc.,143498,168:01:00
652,LLY,Eli Lilly & Co,157937,168:01:00
654,DUK,Duke Energy Corp.,122570,168:01:00
655,INTC,Intel Corp.,100100,168:01:00
657,HII,"Huntington Ingalls Industries, Inc.",84115,168:01:00
660,CPB,Campbell Soup Co.,70105,167:01:00
663,CE,Celanese Corp.,77662,167:01:00
664,BLK,Blackrock Inc.,162300,166:01:00
669,HOLX,Hologic Inc.,94126,165:01:00
677,SBAC,SBA Communications Corp.,69257,163:01:00
678,FMC,FMC Corp.,59199,163:01:00
680,SBAC,SBA Communications Corp.,69257,163:01:00
683,HIG,"Hartford Financial Services Group, Inc.",101119,162:01:00
685,CLX,Clorox CO,72682,160:01:00
689,ORLY,O Reilly Automotive Inc.,35086,160:01:00
694,GRMN,Garmin Ltd,41063,159:01:00
695,EA,Electronic Arts Inc.,129851,159:01:00
701,GWW,"W.W. Grainger, Inc.",65160,157:01:00
702,RSG,"Republic Services, Inc.",75422,157:01:00
705,NDAQ,"Nasdaq, Inc.",117468,157:01:00
707,SNA,Snap-on Inc.,67206,157:01:00
709,LYB,Lyondellbasell Industries,106365,156:01:00
712,ODFL,"Old Dominion Freight Line, Inc.",78853,156:01:00
718,SLB,Schlumberger Limited/nv,118141,154:01:00
721,EQR,Equity Residential,74135,153:01:00
722,SJM,J M Smucker Co,74353,153:01:00
726,TAP,Molson Coors Beverage Co.,80339,152:01:00
727,V,Visa Inc.,149782,151:01:00
728,WM,Waste Management Inc.,97046,151:01:00
730,CDNS,Cadence Design Systems Inc.,114804,151:01:00
732,CVX,Chevron Corp.,175673,151:01:00
733,KHC,Kraft Heinz Co,75128,151:01:00
734,XEL,Xcel Energy Inc.,140980,151:01:00
738,CME,Cme Group Inc.,157285,149:01:00
739,CFG,Citizens Financial Group Inc.,74287,149:01:00
741,GDDY,Godaddy Inc.,106590,149:01:00
743,CME,Cme Group Inc.,157285,149:01:00
744,INTU,Intuit Inc.,184705,148:01:00
745,IP,International Paper CO,87004,148:01:00
747,WRB,Berkley W R Corp.,113622,148:01:00
753,WELL,Welltower Inc.,117700,146:01:00
758,SYY,Sysco Corp.,98704,145:01:00
759,EXPD,Expeditors International OF Washington Inc.,51321,145:01:00
760,EXPD,Expeditors International OF Washington Inc.,51321,145:01:00
762,DFS,Discover Financial Services,59905,145:01:00
764,WST,West Pharmaceutical Services Inc.,65395,144:01:00
766,NTRS,Northern Trust Corp.,70565,144:01:00
767,BRO,"Brown & Brown, Inc.",68672,143:01:00
768,SO,Southern Co.,164300,143:01:00
771,HAS,"Hasbro, Inc.",105855,143:01:00
776,FITB,Fifth Third Bancorp,66030,142:01:00
778,ADSK,"Autodesk, Inc.",146199,141:01:00
783,CNP,Centerpoint Energy Inc.,115722,140:01:00
784,SNPS,Synopsys Inc.,90759,140:01:00
786,ALLE,Allegion PLC,64092,140:01:00
788,WMB,"Williams Companies, Inc.",126008,139:01:00
789,RF,Regions Financial Corp.,66724,139:01:00
792,UDR,"UDR, Inc.",85212,138:01:00
795,INVH,Invitation Homes Inc.,76008,137:01:00
798,MPC,Marathon Petroleum Corp.,176205,137:01:00
799,HBAN,Huntington Bancshares Inc.,74173,137:01:00
800,HBAN,Huntington Bancshares Inc.,74173,137:01:00
802,AMGN,Amgen Inc.,166322,136:01:00
806,VMC,Vulcan Materials Co.,99874,136:01:00
809,EBAY,Ebay Inc.,160007,135:01:00
810,PWR,"Quanta Services, Inc.",108385,135:01:00
814,ES,Eversource Energy,140991,134:01:00
833,HRL,Hormel Foods Corp.,52099,130:01:00
835,FTNT,"Fortinet, Inc.",124446,130:01:00
836,BMY,Bristol Myers Squibb Co.,151172,130:01:00
837,WY,Weyerhaeuser Co.,100256,130:01:00
841,KDP,Keurig Dr Pepper Inc.,59669,128:01:00
842,NVDA,Nvidia Corp.,266939,128:01:00
846,TDY,Teledyne Technologies Inc.,66824,128:01:00
849,KEY,Keycorp,80737,127:01:00
851,URI,"United Rentals, Inc.",86568,127:01:00
853,HWM,Howmet Aerospace Inc.,58372,126:01:00
857,CHD,Church & Dwight CO Inc.,88482,126:01:00
859,MCO,Moodys Corp.,115386,125:01:00
861,MCO,Moodys Corp.,115386,125:01:00
864,KEYS,"Keysight Technologies, Inc.",85570,125:01:00
871,PSX,Phillips 66,156695,124:01:00
874,KIM,Kimco Realty Corp.,112894,123:01:00
875,JKHY,Henry Jack & Associates Inc.,84531,123:01:00
876,JBHT,Hunt J B Transport Services Inc.,66919,123:01:00
879,MO,"Altria Group, Inc.",151447,122:01:00
880,MO,"Altria Group, Inc.",151447,122:01:00
887,CTAS,Cintas Corp.,62513,121:01:00
888,PHM,Pultegroup Inc.,103517,121:01:00
900,CCI,Crown Castle Inc.,123665,119:01:00
912,VTR,"Ventas, Inc.",114544,118:01:00
915,BLDR,"Builders Firstsource, Inc.",68736,118:01:00
917,VRSK,"Verisk Analytics, Inc.",87582,118:01:00
918,GL,Globe Life Inc.,61022,118:01:00
919,POOL,Pool Corp.,51621,118:01:00
921,VTR,"Ventas, Inc.",114544,118:01:00
923,POOL,Pool Corp.,51621,118:01:00
926,AKAM,Akamai Technologies Inc.,114429,117:01:00
929,AVB,Avalonbay Communities Inc.,80764,117:01:00
933,MTCH,"Match Group, Inc.",139011,116:01:00
946,PODD,Insulet Corp.,107199,115:01:00
955,WAT,Waters Corp.,76668,114:01:00
958,TFC,Truist Financial Corp.,109424,114:01:00
959,STE,Steris PLC,68915,113:01:00
960,BEN,Franklin Resources Inc.,138378,113:01:00
961,UNP,Union Pacific Corp.,137770,113:01:00
963,STE,Steris PLC,68915,113:01:00
978,MTB,M&T Bank Corp.,84682,111:01:00
987,NEE,Nextera Energy Inc.,186960,110:01:00
988,GILD,"Gilead Sciences, Inc.",205866,110:01:00
990,AMCR,Amcor PLC,66941,109:01:00
994,NSC,Norfolk Southern Corp.,123776,109:01:00
1001,IVZ,Invesco Ltd.,111480,108:01:00
1002,DLR,"Digital Realty Trust, Inc.",114016,108:01:00
1011,TRGP,Targa Resources Corp.,133130,107:01:00
1021,L,Loews Corp.,65779,105:01:00
1028,CPT,Camden Property Trust,66122,105:01:00
1030,FANG,"Diamondback Energy, Inc.",167164,105:01:00
1034,J,Jacobs Solutions Inc.,91465,104:01:00
1042,TER,"Teradyne, Inc.",98546,103:01:00
1047,MHK,Mohawk Industries Inc.,42888,103:01:00
1063,GNRC,Generac Holdings Inc.,70609,101:01:00
1076,DVA,Davita Inc.,68007,99:01:00
1078,STLD,Steel Dynamics Inc.,119460,99:01:00
1084,O,Realty Income Corp.,134421,98:01:00
1097,BXP,Boston Properties Inc.,134611,96:01:00
1107,PCG,PG&E Corp.,179696,95:01:00
1118,ERIE,Erie Indemnity Co.,84410,93:01:00
1119,KMI,"Kinder Morgan, Inc.",132724,93:01:00
1120,OXY,Occidental Petroleum Corp.,190610,93:01:00
1122,CTRA,Coterra Energy Inc.,157111,93:01:00
1123,KMI,"Kinder Morgan, Inc.",132724,93:01:00
1126,ERIE,Erie Indemnity Co.,84410,93:01:00
1132,CF,"CF Industries Holdings, Inc.",140469,92:01:00
1142,LDOS,"Leidos Holdings, Inc.",106046,91:01:00
1168,AEP,American Electric Power CO Inc.,121286,88:01:00
1171,ATO,Atmos Energy Corp.,91592,88:01:00
1189,ACGL,Arch Capital Group Ltd.,147294,86:01:00
1193,CDW,CDW Corp.,105264,86:01:00
1203,DVN,Devon Energy Corp.,175300,85:01:00
1212,EXC,Exelon Corp.,146180,84:01:00
1218,VRTX,Vertex Pharmaceuticals Inc / MA,247549,83:01:00
1226,VRTX,Vertex Pharmaceuticals Inc / MA,247549,83:01:00
1230,PEG,Public Service Enterprise Group Inc.,143410,82:01:00
1231,ANET,"Arista Networks, Inc.",189124,82:01:00
1235,NDSN,Nordson Corp.,85402,82:01:00
